Current,Volt,Power,Type
0.1395544,5.000185,0.697797818,0
0.1395389,5.000193,0.697721431,0
0.1395257,5.000193,0.697655428,0
0.1395356,5.000179,0.697702977,0
0.1395317,5.000197,0.697685988,0
0.1395275,5.000174,0.697661778,0
0.1395376,5.000193,0.697714931,0
0.1395442,5.000202,0.697749188,0
0.1395589,5.000192,0.697821295,0
0.1395424,5.000203,0.697740327,0
0.1395367,5.000191,0.697710152,0
0.1395325,5.000204,0.697690965,0
0.1395354,5.000197,0.697704488,0
0.1395414,5.000195,0.697734211,0
0.139551,5.000198,0.697782631,0
0.1395555,5.000192,0.697804295,0
0.1395408,5.000204,0.697732466,0
0.1395406,5.000194,0.697730071,0
0.1395366,5.000188,0.697709233,0
0.1395371,5.000191,0.697712152,0
0.1395428,5.00021,0.697743304,0
0.1395478,5.000204,0.697767468,0
0.139547,5.000204,0.697763468,0
0.1395543,5.000199,0.697799271,0
0.1395569,5.000199,0.697812272,0
0.139547,5.000191,0.697761653,0
0.1395426,5.000189,0.697739374,0
0.1395372,5.000189,0.697712373,0
0.1395422,5.000203,0.697739327,0
0.1395426,5.000189,0.697739374,0
0.139545,5.000196,0.697752351,0
0.1395534,5.000204,0.697795469,0
0.1395433,5.000194,0.697743571,0
0.139524,5.000211,0.69764944,0
0.1395313,5.000182,0.697681895,0
0.1395253,5.000196,0.697653847,0
0.1395384,5.000189,0.697718373,0
0.1395422,5.000178,0.697735839,0
0.139547,5.000207,0.697763886,0
0.1395466,5.000195,0.697760212,0
0.139538,5.000191,0.697716652,0
0.1395312,5.000198,0.697683627,0
0.1395332,5.000206,0.697694744,0
0.139535,5.00016,0.697697326,0
0.1395294,5.000212,0.69767658,0
0.139546,5.000203,0.697758328,0
0.1395556,5.000192,0.697804795,0
0.13955,5.000205,0.697778608,0
0.1395556,5.000206,0.697806748,0
0.1395373,5.00026,0.69772278,0
0.1395363,5.000206,0.697710244,0
0.1395405,5.000193,0.697729431,0
0.1395515,5.000191,0.697784154,0
0.1395638,5.000211,0.697848448,0
0.1395556,5.000209,0.697807167,0
0.139544,5.00021,0.697749304,0
0.1395401,5.000197,0.697727989,0
0.1395562,5.000196,0.697808353,0
0.1395517,5.000189,0.697784875,0
0.1395499,5.000191,0.697776154,0
0.1395545,5.000232,0.697804877,0
0.1395594,5.000208,0.697826028,0
0.1395575,5.000186,0.697813458,0
0.1395441,5.000185,0.697746316,0
0.1395459,5.00018,0.697754618,0
0.139544,5.000205,0.697748607,0
0.1395593,5.000194,0.697823575,0
0.1395651,5.000199,0.697853273,0
0.1395669,5.000177,0.697859203,0
0.1395661,5.000188,0.697856738,0
0.1395685,5.00021,0.697871809,0
0.1395528,5.000202,0.69779219,0
0.1395544,5.000251,0.697807028,0
0.1395507,5.000204,0.697781968,0
0.1395512,5.000199,0.697783771,0
0.1395686,5.000176,0.697867564,0
0.1395632,5.000193,0.697842936,0
0.1395542,5.000199,0.697798771,0
0.1395575,5.000202,0.697815691,0
0.139553,5.000191,0.697791655,0
0.1395576,5.000199,0.697815772,0
0.1395487,5.000188,0.697769735,0
0.1395519,5.000191,0.697786154,0
0.1395551,5.000185,0.697801318,0
0.1395646,5.000185,0.697848819,0
0.1395582,5.000192,0.697817795,0
0.1395579,5.000187,0.697815597,0
0.139548,5.000201,0.697768049,0
0.1395443,5.000194,0.697748572,0
0.1395518,5.000192,0.697785794,0
0.1395538,5.000195,0.697796213,0
0.1395586,5.0002,0.697820912,0
0.139572,5.000175,0.697884425,0
0.1395708,5.000183,0.697879541,0
0.1395511,5.000202,0.697783689,0
0.1395494,5.000205,0.697775608,0
0.1395435,5.000192,0.697744292,0
0.1395616,5.000197,0.697835494,0
0.1395594,5.000218,0.697827424,0
0.1395726,5.00019,0.697889519,0
0.1395625,5.000195,0.697839715,0
